2017-07-28 19:44:09,431,431
2017-07-28 19:44:18,1431,1000
2017-07-28 19:59:32,1676,245
2017-07-29 19:30:36,3058,1382
2017-07-29 21:37:26,3522,464
2017-07-31 01:02:54,8268,4746
2017-07-31 21:16:41,10491,2223
2017-07-31 23:41:11,11691,1200
2017-08-01 17:38:24,14350,2659
2017-08-02 11:21:24,19840,5490
2017-08-02 21:35:45,23255,3415
2017-08-03 10:00:28,24529,1274
2017-08-04 09:27:41,25943,1414
2017-08-04 18:46:07,28268,2325
2017-08-05 21:12:54,30065,1797
2017-08-09 12:04:22,31519,1454
2017-08-10 19:26:32,32221,702
2017-08-10 21:47:56,33142,921
2017-08-11 19:49:23,33689,547
2017-08-16 10:11:33,36422,2733
2017-08-17 11:18:03,44104,7682
2017-08-17 14:08:33,45193,1089
2017-08-18 10:02:03,46352,1159
2017-08-21 11:04:58,50020,3668
2017-08-21 18:49:40,53999,3979
